grade,topic,Code-1,Code-2,Describe
K,K.Forces and Interactions: Pushes and Pulls,K-PS2-1,,Plan and conduct an investigation to compare the effects of different strengths or different directions of pushes and pulls on the motion of an object.
K,K.Forces and Interactions: Pushes and Pulls,K-PS2-2,,Analyze data to determine if a design solution works as intended to change the speed or direction of an object with a push or a pull.
K,K.Forces and Interactions: Pushes and Pulls,K-PS2-1,PS2.A,Forces and Motion
K,K.Forces and Interactions: Pushes and Pulls,K-PS2-2,PS2.A,Forces and Motion
K,K.Forces and Interactions: Pushes and Pulls,K-PS2-1,PS2.B,Types of Interactions
K,K.Forces and Interactions: Pushes and Pulls,K-PS2-1,PS3.C,Relationship Between Energy and Forces
K,K.Forces and Interactions: Pushes and Pulls,K-PS2-2,ETS1.A,Defining Engineering Problems
K,"K.Interdependent Relationships in Ecosystems: Animals, Plants, and Their Environment",K-LS1-1,,Use observations to describe patterns of what plants and animals (including humans) need to survive.
K,"K.Interdependent Relationships in Ecosystems: Animals, Plants, and Their Environment",K-ESS2-2,,"Construct an argument supported by evidence for how plants and animals (including humans) can change the
environment to meet their needs. "
K,"K.Interdependent Relationships in Ecosystems: Animals, Plants, and Their Environment",K-ESS3-1,,"Use a model to represent the relationship between the needs of different plants or animals (including humans)
and the places they live."
K,"K.Interdependent Relationships in Ecosystems: Animals, Plants, and Their Environment",K-ESS3-3,,"Communicate solutions that will reduce the impact of humans on the land, water, air, and/or other living things
in the local environment."
K,"K.Interdependent Relationships in Ecosystems: Animals, Plants, and Their Environment",K-LS1-1,LS1.C,"Organization for Matter and Energy Flow in
Crosscutting Concepts
Patterns
Modeling in KÐ2 builds on prior experiences and progresses to
Organisms"
K,"K.Interdependent Relationships in Ecosystems: Animals, Plants, and Their Environment",K-ESS2-2,ESS2.E,Biogeology
K,"K.Interdependent Relationships in Ecosystems: Animals, Plants, and Their Environment",K-ESS2-2,ESS3.C,Human Impacts on Earth Systems
K,"K.Interdependent Relationships in Ecosystems: Animals, Plants, and Their Environment",K-ESS3-3,ESS3.C,Human Impacts on Earth Systems
K,"K.Interdependent Relationships in Ecosystems: Animals, Plants, and Their Environment",K-ESS3-3,ETS1.B,Developing Possible Solutions
